condition	theorem_dataset_name	file	status	model
statement_plus_proof	LADR_thm_chap_5_11	statement_plus_proof/LADR_thm_chap_5_11.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_5_7	statement_only/LADR_thm_chap_5_7.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_5_7	statement_plus_proof/LADR_thm_chap_5_7.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_6_11	statement_only/LADR_thm_chap_6_11.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_6_11	statement_plus_proof/LADR_thm_chap_6_11.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_6_21	statement_only/LADR_thm_chap_6_21.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_6_21	statement_plus_proof/LADR_thm_chap_6_21.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_6_24	statement_only/LADR_thm_chap_6_24.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_6_24	statement_plus_proof/LADR_thm_chap_6_24.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_7_82	statement_only/LADR_thm_chap_7_82.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_7_82	statement_plus_proof/LADR_thm_chap_7_82.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_7_99	statement_only/LADR_thm_chap_7_99.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_7_99	statement_plus_proof/LADR_thm_chap_7_99.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_7_5	statement_only/LADR_thm_chap_7_5.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_7_5	statement_plus_proof/LADR_thm_chap_7_5.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_8_37	statement_only/LADR_thm_chap_8_37.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_8_37	statement_plus_proof/LADR_thm_chap_8_37.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_8_12	statement_only/LADR_thm_chap_8_12.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_8_12	statement_plus_proof/LADR_thm_chap_8_12.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_8_49	statement_only/LADR_thm_chap_8_49.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_8_49	statement_plus_proof/LADR_thm_chap_8_49.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_9_79	statement_only/LADR_thm_chap_9_79.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_9_79	statement_plus_proof/LADR_thm_chap_9_79.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_9_65	statement_only/LADR_thm_chap_9_65.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_9_65	statement_plus_proof/LADR_thm_chap_9_65.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_9_55	statement_only/LADR_thm_chap_9_55.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_9_55	statement_plus_proof/LADR_thm_chap_9_55.lean	ok	gpt-5.4
