sampling,regime,pair_id,model,ops_total,theme,story_correct,literal_correct,story_bucket,literal_bucket
uniform,off,E1145-E777,mistralai/mistral-small-3.2-24b-instruct,,paint,False,False,wrong,wrong
uniform,off,E1145-E777,openai/gpt-4o-mini,,paint,False,False,unparseable,unparseable
uniform,off,E1145-E777,openai/gpt-5-mini,,paint,False,False,wrong,wrong
uniform,off,E1145-E777,qwen/qwen3-32b,,paint,False,False,wrong,wrong
uniform,off,E1168-E4449,anthropic/claude-haiku-4.5,,signal,False,False,wrong,wrong
uniform,off,E1168-E4449,deepseek/deepseek-chat-v3.1,,signal,True,True,exact,exact
uniform,off,E1168-E4449,google/gemini-2.5-flash,,signal,True,False,exact,wrong
uniform,off,E1168-E4449,meta-llama/llama-3.3-70b-instruct,,signal,False,False,wrong,wrong
uniform,off,E1168-E4449,mistralai/mistral-small-3.2-24b-instruct,,signal,False,False,wrong,unparseable
uniform,off,E1168-E4449,openai/gpt-4o-mini,,signal,False,False,wrong,wrong
uniform,off,E1168-E4449,openai/gpt-5-mini,,signal,False,False,wrong,wrong
uniform,off,E1168-E4449,qwen/qwen3-32b,,signal,False,False,wrong,wrong
uniform,off,E1204-E2541,anthropic/claude-haiku-4.5,,tea,False,False,wrong,wrong
uniform,off,E1204-E2541,deepseek/deepseek-chat-v3.1,,tea,False,False,wrong,wrong
uniform,off,E1204-E2541,google/gemini-2.5-flash,,tea,False,True,wrong,exact
uniform,off,E1204-E2541,meta-llama/llama-3.3-70b-instruct,,tea,False,False,wrong,wrong
uniform,off,E1204-E2541,mistralai/mistral-small-3.2-24b-instruct,,tea,False,False,unparseable,wrong
uniform,off,E1204-E2541,openai/gpt-4o-mini,,tea,False,False,wrong,unparseable
uniform,off,E1204-E2541,openai/gpt-5-mini,,tea,False,False,wrong,wrong
uniform,off,E1204-E2541,qwen/qwen3-32b,,tea,False,False,wrong,wrong
uniform,off,E1566-E4650,anthropic/claude-haiku-4.5,,graft,False,True,wrong,correct-swapped
uniform,off,E1566-E4650,deepseek/deepseek-chat-v3.1,,graft,True,True,exact,correct-swapped
uniform,off,E1566-E4650,google/gemini-2.5-flash,,graft,True,True,correct-swapped,correct-swapped
uniform,off,E1566-E4650,meta-llama/llama-3.3-70b-instruct,,graft,False,False,wrong,wrong
uniform,off,E1566-E4650,mistralai/mistral-small-3.2-24b-instruct,,graft,False,True,wrong,correct-swapped
uniform,off,E1566-E4650,openai/gpt-4o-mini,,graft,False,False,wrong,wrong
uniform,off,E1566-E4650,openai/gpt-5-mini,,graft,True,True,exact,exact
uniform,off,E1566-E4650,qwen/qwen3-32b,,graft,False,True,wrong,correct-swapped
uniform,off,E1790-E4135,anthropic/claude-haiku-4.5,,signal,True,False,correct-swapped,wrong
uniform,off,E1790-E4135,deepseek/deepseek-chat-v3.1,,signal,False,False,wrong,unparseable
uniform,off,E1790-E4135,google/gemini-2.5-flash,,signal,False,True,wrong,exact
uniform,off,E1790-E4135,meta-llama/llama-3.3-70b-instruct,,signal,False,False,wrong,wrong
uniform,off,E1790-E4135,mistralai/mistral-small-3.2-24b-instruct,,signal,False,False,wrong,wrong
uniform,off,E1790-E4135,openai/gpt-4o-mini,,signal,False,False,wrong,wrong
uniform,off,E1790-E4135,openai/gpt-5-mini,,signal,False,True,wrong,exact
uniform,off,E1790-E4135,qwen/qwen3-32b,,signal,False,False,wrong,wrong
uniform,off,E1817-E1955,anthropic/claude-haiku-4.5,,tea,False,True,wrong,exact
uniform,off,E1817-E1955,deepseek/deepseek-chat-v3.1,,tea,True,False,exact,wrong
uniform,off,E1817-E1955,google/gemini-2.5-flash,,tea,True,True,exact,exact
uniform,off,E1817-E1955,meta-llama/llama-3.3-70b-instruct,,tea,False,False,wrong,wrong
uniform,off,E1817-E1955,mistralai/mistral-small-3.2-24b-instruct,,tea,False,False,wrong,wrong
uniform,off,E1817-E1955,openai/gpt-4o-mini,,tea,False,False,unparseable,wrong
uniform,off,E1817-E1955,openai/gpt-5-mini,,tea,False,False,wrong,wrong
uniform,off,E1817-E1955,qwen/qwen3-32b,,tea,False,False,wrong,wrong
uniform,off,E2053-E4363,anthropic/claude-haiku-4.5,,signal,False,False,wrong,wrong
uniform,off,E2053-E4363,deepseek/deepseek-chat-v3.1,,signal,True,True,exact,correct-swapped
uniform,off,E2053-E4363,google/gemini-2.5-flash,,signal,True,True,exact,exact
uniform,off,E2053-E4363,meta-llama/llama-3.3-70b-instruct,,signal,False,False,unparseable,wrong
uniform,off,E2053-E4363,mistralai/mistral-small-3.2-24b-instruct,,signal,False,True,wrong,correct-swapped
uniform,off,E2053-E4363,openai/gpt-4o-mini,,signal,False,False,wrong,wrong
uniform,off,E2053-E4363,openai/gpt-5-mini,,signal,False,False,unparseable,wrong
uniform,off,E2053-E4363,qwen/qwen3-32b,,signal,False,False,wrong,wrong
uniform,off,E2134-E511,anthropic/claude-haiku-4.5,,tea,False,False,wrong,wrong
uniform,off,E2134-E511,deepseek/deepseek-chat-v3.1,,tea,True,True,exact,correct-swapped
uniform,off,E2134-E511,google/gemini-2.5-flash,,tea,True,True,exact,exact
uniform,off,E2134-E511,meta-llama/llama-3.3-70b-instruct,,tea,False,True,wrong,exact
uniform,off,E2134-E511,mistralai/mistral-small-3.2-24b-instruct,,tea,False,False,wrong,wrong
uniform,off,E2134-E511,openai/gpt-4o-mini,,tea,False,False,wrong,unparseable
uniform,off,E2134-E511,openai/gpt-5-mini,,tea,False,False,wrong,unparseable
uniform,off,E2134-E511,qwen/qwen3-32b,,tea,False,False,wrong,wrong
uniform,off,E2591-E1676,anthropic/claude-haiku-4.5,,graft,False,True,wrong,exact
uniform,off,E2591-E1676,deepseek/deepseek-chat-v3.1,,graft,False,False,unparseable,wrong
uniform,off,E2591-E1676,google/gemini-2.5-flash,,graft,False,False,wrong,wrong
uniform,off,E2591-E1676,meta-llama/llama-3.3-70b-instruct,,graft,False,False,unparseable,wrong
uniform,off,E2591-E1676,mistralai/mistral-small-3.2-24b-instruct,,graft,False,False,wrong,wrong
uniform,off,E2591-E1676,openai/gpt-4o-mini,,graft,False,False,unparseable,wrong
uniform,off,E2591-E1676,openai/gpt-5-mini,,graft,False,False,wrong,wrong
uniform,off,E2591-E1676,qwen/qwen3-32b,,graft,False,False,wrong,wrong
uniform,off,E2665-E516,anthropic/claude-haiku-4.5,,graft,False,True,wrong,correct-swapped
uniform,off,E2665-E516,deepseek/deepseek-chat-v3.1,,graft,True,True,correct-swapped,correct-swapped
uniform,off,E2665-E516,google/gemini-2.5-flash,,graft,True,True,correct-swapped,correct-swapped
uniform,off,E2665-E516,meta-llama/llama-3.3-70b-instruct,,graft,False,False,unparseable,unparseable
uniform,off,E2665-E516,mistralai/mistral-small-3.2-24b-instruct,,graft,False,False,unparseable,wrong
uniform,off,E2665-E516,openai/gpt-4o-mini,,graft,False,False,wrong,wrong
uniform,off,E2665-E516,openai/gpt-5-mini,,graft,False,False,unparseable,unparseable
uniform,off,E2665-E516,qwen/qwen3-32b,,graft,False,False,wrong,wrong
uniform,off,E2705-E3868,anthropic/claude-haiku-4.5,,paint,False,False,wrong,wrong
uniform,off,E2705-E3868,deepseek/deepseek-chat-v3.1,,paint,False,False,wrong,wrong
uniform,off,E2705-E3868,google/gemini-2.5-flash,,paint,False,True,wrong,correct-swapped
uniform,off,E2705-E3868,meta-llama/llama-3.3-70b-instruct,,paint,False,False,unparseable,wrong
uniform,off,E2705-E3868,mistralai/mistral-small-3.2-24b-instruct,,paint,False,False,unparseable,wrong
uniform,off,E2705-E3868,openai/gpt-4o-mini,,paint,False,False,wrong,unparseable
uniform,off,E2705-E3868,openai/gpt-5-mini,,paint,False,False,unparseable,unparseable
uniform,off,E2705-E3868,qwen/qwen3-32b,,paint,False,False,wrong,wrong
uniform,off,E2730-E1999,anthropic/claude-haiku-4.5,,tea,False,True,wrong,correct-swapped
uniform,off,E2730-E1999,deepseek/deepseek-chat-v3.1,,tea,True,False,exact,wrong
uniform,off,E2730-E1999,google/gemini-2.5-flash,,tea,True,True,correct-swapped,correct-swapped
uniform,off,E2730-E1999,meta-llama/llama-3.3-70b-instruct,,tea,True,False,correct-swapped,wrong
uniform,off,E2730-E1999,mistralai/mistral-small-3.2-24b-instruct,,tea,False,False,wrong,wrong
uniform,off,E2730-E1999,openai/gpt-4o-mini,,tea,False,False,unparseable,wrong
uniform,off,E2730-E1999,openai/gpt-5-mini,,tea,False,False,unparseable,wrong
uniform,off,E2730-E1999,qwen/qwen3-32b,,tea,False,False,wrong,wrong
uniform,off,E2899-E3557,anthropic/claude-haiku-4.5,,paint,False,False,wrong,wrong
uniform,off,E2899-E3557,deepseek/deepseek-chat-v3.1,,paint,False,True,unparseable,correct-swapped
uniform,off,E2899-E3557,google/gemini-2.5-flash,,paint,False,False,wrong,wrong
uniform,off,E2899-E3557,meta-llama/llama-3.3-70b-instruct,,paint,False,False,wrong,wrong
uniform,off,E2899-E3557,mistralai/mistral-small-3.2-24b-instruct,,paint,False,True,unparseable,correct-swapped
uniform,off,E2899-E3557,openai/gpt-4o-mini,,paint,False,False,wrong,wrong
uniform,off,E2899-E3557,openai/gpt-5-mini,,paint,False,False,wrong,unparseable
uniform,off,E2899-E3557,qwen/qwen3-32b,,paint,False,False,wrong,wrong
uniform,off,E3156-E3446,anthropic/claude-haiku-4.5,,tea,True,True,correct-swapped,correct-swapped
uniform,off,E3156-E3446,deepseek/deepseek-chat-v3.1,,tea,True,True,exact,exact
uniform,off,E3156-E3446,google/gemini-2.5-flash,,tea,True,True,exact,exact
uniform,off,E3156-E3446,meta-llama/llama-3.3-70b-instruct,,tea,False,False,wrong,wrong
uniform,off,E3156-E3446,mistralai/mistral-small-3.2-24b-instruct,,tea,False,False,wrong,wrong
uniform,off,E3156-E3446,openai/gpt-4o-mini,,tea,False,False,wrong,wrong
uniform,off,E3156-E3446,openai/gpt-5-mini,,tea,False,True,wrong,exact
uniform,off,E3156-E3446,qwen/qwen3-32b,,tea,False,False,wrong,unparseable
uniform,off,E3318-E2485,anthropic/claude-haiku-4.5,,paint,False,False,wrong,wrong
uniform,off,E3318-E2485,deepseek/deepseek-chat-v3.1,,paint,True,True,exact,exact
uniform,off,E3318-E2485,google/gemini-2.5-flash,,paint,False,True,unparseable,exact
uniform,off,E3318-E2485,meta-llama/llama-3.3-70b-instruct,,paint,False,False,wrong,wrong
uniform,off,E3318-E2485,mistralai/mistral-small-3.2-24b-instruct,,paint,False,False,wrong,wrong
uniform,off,E3318-E2485,openai/gpt-4o-mini,,paint,False,False,wrong,wrong
uniform,off,E3318-E2485,openai/gpt-5-mini,,paint,False,False,wrong,wrong
uniform,off,E3318-E2485,qwen/qwen3-32b,,paint,False,False,wrong,wrong
uniform,off,E332-E2122,anthropic/claude-haiku-4.5,,graft,True,True,exact,exact
uniform,off,E332-E2122,deepseek/deepseek-chat-v3.1,,graft,True,False,exact,wrong
uniform,off,E332-E2122,google/gemini-2.5-flash,,graft,True,True,exact,exact
uniform,off,E332-E2122,meta-llama/llama-3.3-70b-instruct,,graft,True,True,exact,exact
uniform,off,E332-E2122,mistralai/mistral-small-3.2-24b-instruct,,graft,True,True,exact,correct-swapped
uniform,off,E332-E2122,openai/gpt-4o-mini,,graft,False,False,wrong,wrong
uniform,off,E332-E2122,openai/gpt-5-mini,,graft,True,True,exact,exact
uniform,off,E332-E2122,qwen/qwen3-32b,,graft,False,False,wrong,wrong
uniform,off,E3627-E4271,anthropic/claude-haiku-4.5,,tea,False,False,wrong,wrong
uniform,off,E3627-E4271,deepseek/deepseek-chat-v3.1,,tea,False,True,wrong,exact
uniform,off,E3627-E4271,google/gemini-2.5-flash,,tea,True,True,exact,exact
uniform,off,E3627-E4271,meta-llama/llama-3.3-70b-instruct,,tea,False,True,wrong,exact
uniform,off,E3627-E4271,mistralai/mistral-small-3.2-24b-instruct,,tea,False,False,wrong,wrong
uniform,off,E3627-E4271,openai/gpt-4o-mini,,tea,False,False,wrong,wrong
uniform,off,E3627-E4271,openai/gpt-5-mini,,tea,False,False,unparseable,unparseable
uniform,off,E3627-E4271,qwen/qwen3-32b,,tea,False,False,wrong,wrong
uniform,off,E3670-E748,anthropic/claude-haiku-4.5,,paint,False,True,wrong,exact
uniform,off,E3670-E748,deepseek/deepseek-chat-v3.1,,paint,False,True,wrong,exact
uniform,off,E3670-E748,google/gemini-2.5-flash,,paint,True,True,exact,exact
uniform,off,E3670-E748,meta-llama/llama-3.3-70b-instruct,,paint,False,False,wrong,unparseable
uniform,off,E3670-E748,mistralai/mistral-small-3.2-24b-instruct,,paint,False,False,wrong,wrong
uniform,off,E3670-E748,openai/gpt-4o-mini,,paint,False,False,wrong,wrong
uniform,off,E3670-E748,openai/gpt-5-mini,,paint,False,True,wrong,exact
uniform,off,E3670-E748,qwen/qwen3-32b,,paint,True,False,exact,wrong
uniform,off,E3905-E2934,anthropic/claude-haiku-4.5,,paint,False,True,wrong,correct-swapped
uniform,off,E3905-E2934,deepseek/deepseek-chat-v3.1,,paint,False,True,unparseable,exact
uniform,off,E3905-E2934,google/gemini-2.5-flash,,paint,False,True,wrong,exact
uniform,off,E3905-E2934,meta-llama/llama-3.3-70b-instruct,,paint,False,True,wrong,exact
uniform,off,E3905-E2934,mistralai/mistral-small-3.2-24b-instruct,,paint,False,False,wrong,wrong
uniform,off,E3905-E2934,openai/gpt-4o-mini,,paint,False,False,wrong,wrong
uniform,off,E3905-E2934,openai/gpt-5-mini,,paint,False,False,wrong,unparseable
uniform,off,E3905-E2934,qwen/qwen3-32b,,paint,False,False,wrong,wrong
uniform,off,E4162-E4009,anthropic/claude-haiku-4.5,,graft,False,True,wrong,exact
uniform,off,E4162-E4009,deepseek/deepseek-chat-v3.1,,graft,False,True,unparseable,exact
uniform,off,E4162-E4009,google/gemini-2.5-flash,,graft,False,True,wrong,exact
uniform,off,E4162-E4009,meta-llama/llama-3.3-70b-instruct,,graft,False,True,unparseable,exact
uniform,off,E4162-E4009,mistralai/mistral-small-3.2-24b-instruct,,graft,True,False,exact,wrong
uniform,off,E4162-E4009,openai/gpt-4o-mini,,graft,False,False,wrong,wrong
uniform,off,E4162-E4009,openai/gpt-5-mini,,graft,False,True,unparseable,exact
uniform,off,E4162-E4009,qwen/qwen3-32b,,graft,False,True,unparseable,correct-swapped
uniform,off,E4189-E3981,anthropic/claude-haiku-4.5,,graft,False,True,wrong,exact
uniform,off,E4189-E3981,deepseek/deepseek-chat-v3.1,,graft,False,True,unparseable,exact
uniform,off,E4189-E3981,google/gemini-2.5-flash,,graft,False,True,wrong,exact
uniform,off,E4189-E3981,meta-llama/llama-3.3-70b-instruct,,graft,False,True,wrong,exact
uniform,off,E4189-E3981,mistralai/mistral-small-3.2-24b-instruct,,graft,False,True,wrong,correct-swapped
uniform,off,E4189-E3981,openai/gpt-4o-mini,,graft,False,False,wrong,wrong
uniform,off,E4189-E3981,openai/gpt-5-mini,,graft,True,False,exact,unparseable
uniform,off,E4189-E3981,qwen/qwen3-32b,,graft,False,False,wrong,wrong
uniform,off,E4495-E116,anthropic/claude-haiku-4.5,,tea,False,True,wrong,exact
uniform,off,E4495-E116,deepseek/deepseek-chat-v3.1,,tea,True,True,correct-swapped,exact
uniform,off,E4495-E116,google/gemini-2.5-flash,,tea,True,True,exact,exact
uniform,off,E4495-E116,meta-llama/llama-3.3-70b-instruct,,tea,True,True,exact,exact
uniform,off,E4495-E116,mistralai/mistral-small-3.2-24b-instruct,,tea,False,True,wrong,exact
uniform,off,E4495-E116,openai/gpt-4o-mini,,tea,False,False,wrong,wrong
uniform,off,E4495-E116,openai/gpt-5-mini,,tea,True,False,exact,wrong
uniform,off,E4495-E116,qwen/qwen3-32b,,tea,False,True,wrong,exact
uniform,off,E4527-E3908,anthropic/claude-haiku-4.5,,signal,False,True,wrong,exact
uniform,off,E4527-E3908,deepseek/deepseek-chat-v3.1,,signal,True,True,exact,exact
uniform,off,E4527-E3908,google/gemini-2.5-flash,,signal,False,False,wrong,unparseable
uniform,off,E4527-E3908,meta-llama/llama-3.3-70b-instruct,,signal,False,False,unparseable,wrong
uniform,off,E4527-E3908,mistralai/mistral-small-3.2-24b-instruct,,signal,False,False,wrong,wrong
uniform,off,E4527-E3908,openai/gpt-4o-mini,,signal,False,False,wrong,wrong
uniform,off,E4527-E3908,openai/gpt-5-mini,,signal,True,True,exact,exact
uniform,off,E4527-E3908,qwen/qwen3-32b,,signal,False,True,wrong,correct-swapped
uniform,off,E4586-E825,anthropic/claude-haiku-4.5,,tea,False,True,wrong,exact
uniform,off,E4586-E825,deepseek/deepseek-chat-v3.1,,tea,False,False,wrong,wrong
uniform,off,E4586-E825,google/gemini-2.5-flash,,tea,True,True,exact,exact
uniform,off,E4586-E825,meta-llama/llama-3.3-70b-instruct,,tea,False,False,wrong,wrong
uniform,off,E4586-E825,mistralai/mistral-small-3.2-24b-instruct,,tea,False,False,wrong,wrong
uniform,off,E4586-E825,openai/gpt-4o-mini,,tea,False,False,wrong,wrong
uniform,off,E4586-E825,openai/gpt-5-mini,,tea,False,False,wrong,unparseable
uniform,off,E4586-E825,qwen/qwen3-32b,,tea,False,False,wrong,wrong
uniform,off,E660-E2622,anthropic/claude-haiku-4.5,,tea,False,False,wrong,wrong
uniform,off,E660-E2622,deepseek/deepseek-chat-v3.1,,tea,True,False,exact,wrong
uniform,off,E660-E2622,google/gemini-2.5-flash,,tea,True,True,exact,exact
uniform,off,E660-E2622,meta-llama/llama-3.3-70b-instruct,,tea,False,False,unparseable,wrong
uniform,off,E660-E2622,mistralai/mistral-small-3.2-24b-instruct,,tea,False,False,unparseable,wrong
uniform,off,E660-E2622,openai/gpt-4o-mini,,tea,False,False,wrong,wrong
uniform,off,E660-E2622,openai/gpt-5-mini,,tea,False,False,wrong,wrong
uniform,off,E660-E2622,qwen/qwen3-32b,,tea,False,False,wrong,wrong
uniform,off,E765-E3268,anthropic/claude-haiku-4.5,,paint,False,False,wrong,wrong
uniform,off,E765-E3268,deepseek/deepseek-chat-v3.1,,paint,False,False,wrong,wrong
uniform,off,E765-E3268,google/gemini-2.5-flash,,paint,False,True,wrong,exact
uniform,off,E765-E3268,meta-llama/llama-3.3-70b-instruct,,paint,False,False,wrong,wrong
uniform,off,E765-E3268,mistralai/mistral-small-3.2-24b-instruct,,paint,False,False,wrong,unparseable
uniform,off,E765-E3268,openai/gpt-4o-mini,,paint,False,False,wrong,wrong
uniform,off,E765-E3268,openai/gpt-5-mini,,paint,False,False,wrong,wrong
uniform,off,E765-E3268,qwen/qwen3-32b,,paint,False,False,wrong,wrong
uniform,off,E810-E605,anthropic/claude-haiku-4.5,,signal,False,False,wrong,wrong
uniform,off,E810-E605,deepseek/deepseek-chat-v3.1,,signal,True,True,exact,exact
uniform,off,E810-E605,google/gemini-2.5-flash,,signal,True,True,exact,exact
uniform,off,E810-E605,meta-llama/llama-3.3-70b-instruct,,signal,False,True,wrong,exact
uniform,off,E810-E605,mistralai/mistral-small-3.2-24b-instruct,,signal,False,True,wrong,correct-swapped
uniform,off,E810-E605,openai/gpt-4o-mini,,signal,False,True,wrong,exact
uniform,off,E810-E605,openai/gpt-5-mini,,signal,False,False,wrong,unparseable
uniform,off,E810-E605,qwen/qwen3-32b,,signal,False,True,wrong,correct-swapped
uniform,off,E894-E2470,anthropic/claude-haiku-4.5,,paint,False,False,wrong,unparseable
uniform,off,E894-E2470,deepseek/deepseek-chat-v3.1,,paint,False,False,wrong,wrong
uniform,off,E894-E2470,google/gemini-2.5-flash,,paint,False,True,wrong,exact
uniform,off,E894-E2470,meta-llama/llama-3.3-70b-instruct,,paint,False,False,unparseable,wrong
uniform,off,E894-E2470,mistralai/mistral-small-3.2-24b-instruct,,paint,False,False,unparseable,wrong
uniform,off,E894-E2470,openai/gpt-4o-mini,,paint,False,False,wrong,wrong
uniform,off,E894-E2470,openai/gpt-5-mini,,paint,False,False,wrong,wrong
uniform,off,E894-E2470,qwen/qwen3-32b,,paint,False,False,wrong,wrong
uniform,on,E10-E4044,anthropic/claude-haiku-4.5,,paint,True,True,exact,exact
uniform,on,E10-E4044,deepseek/deepseek-chat-v3.1,,paint,True,True,exact,correct-swapped
uniform,on,E10-E4044,google/gemini-2.5-flash,,paint,True,True,exact,exact
uniform,on,E10-E4044,meta-llama/llama-3.3-70b-instruct,,paint,True,False,correct-swapped,unparseable
uniform,on,E10-E4044,mistralai/mistral-small-3.2-24b-instruct,,paint,False,True,wrong,exact
uniform,on,E10-E4044,openai/gpt-4o-mini,,paint,False,True,wrong,exact
uniform,on,E10-E4044,openai/gpt-5-mini,,paint,True,True,correct-swapped,exact
uniform,on,E10-E4044,qwen/qwen3-32b,,paint,True,True,exact,correct-swapped
uniform,on,E1141-E2309,anthropic/claude-haiku-4.5,,tea,True,True,exact,exact
uniform,on,E1141-E2309,deepseek/deepseek-chat-v3.1,,tea,True,True,exact,correct-swapped
uniform,on,E1141-E2309,google/gemini-2.5-flash,,tea,True,True,exact,exact
uniform,on,E1141-E2309,meta-llama/llama-3.3-70b-instruct,,tea,True,True,correct-swapped,exact
uniform,on,E1141-E2309,mistralai/mistral-small-3.2-24b-instruct,,tea,True,True,exact,exact
uniform,on,E1141-E2309,openai/gpt-4o-mini,,tea,False,True,unparseable,exact
uniform,on,E1141-E2309,openai/gpt-5-mini,,tea,True,True,exact,exact
uniform,on,E1141-E2309,qwen/qwen3-32b,,tea,True,True,exact,correct-swapped
uniform,on,E1145-E777,anthropic/claude-haiku-4.5,,paint,True,True,exact,exact
uniform,on,E1145-E777,deepseek/deepseek-chat-v3.1,,paint,True,True,exact,exact
uniform,on,E1145-E777,google/gemini-2.5-flash,,paint,True,True,exact,correct-swapped
uniform,on,E1145-E777,meta-llama/llama-3.3-70b-instruct,,paint,True,True,exact,exact
uniform,on,E1145-E777,mistralai/mistral-small-3.2-24b-instruct,,paint,True,True,exact,exact
uniform,on,E1145-E777,openai/gpt-4o-mini,,paint,True,True,exact,exact
uniform,on,E1145-E777,openai/gpt-5-mini,,paint,True,True,exact,exact
uniform,on,E1145-E777,qwen/qwen3-32b,,paint,True,True,correct-swapped,exact
uniform,on,E1168-E4449,anthropic/claude-haiku-4.5,,signal,True,True,exact,exact
uniform,on,E1168-E4449,deepseek/deepseek-chat-v3.1,,signal,True,True,exact,exact
uniform,on,E1168-E4449,google/gemini-2.5-flash,,signal,True,True,exact,exact
uniform,on,E1168-E4449,meta-llama/llama-3.3-70b-instruct,,signal,True,True,correct-swapped,exact
uniform,on,E1168-E4449,mistralai/mistral-small-3.2-24b-instruct,,signal,False,True,wrong,exact
uniform,on,E1168-E4449,openai/gpt-4o-mini,,signal,True,True,exact,exact
uniform,on,E1168-E4449,openai/gpt-5-mini,,signal,True,True,exact,exact
uniform,on,E1168-E4449,qwen/qwen3-32b,,signal,True,True,exact,exact
uniform,on,E1204-E2541,anthropic/claude-haiku-4.5,,tea,True,True,exact,exact
uniform,on,E1204-E2541,deepseek/deepseek-chat-v3.1,,tea,True,True,exact,exact
uniform,on,E1204-E2541,google/gemini-2.5-flash,,tea,True,True,exact,exact
uniform,on,E1204-E2541,meta-llama/llama-3.3-70b-instruct,,tea,True,True,correct-swapped,exact
uniform,on,E1204-E2541,mistralai/mistral-small-3.2-24b-instruct,,tea,True,True,exact,correct-swapped
uniform,on,E1204-E2541,openai/gpt-4o-mini,,tea,False,True,wrong,exact
uniform,on,E1204-E2541,openai/gpt-5-mini,,tea,True,True,exact,exact
uniform,on,E1204-E2541,qwen/qwen3-32b,,tea,True,True,exact,exact
uniform,on,E1566-E4650,anthropic/claude-haiku-4.5,,graft,True,True,exact,exact
uniform,on,E1566-E4650,deepseek/deepseek-chat-v3.1,,graft,True,True,exact,exact
uniform,on,E1566-E4650,google/gemini-2.5-flash,,graft,True,True,exact,exact
uniform,on,E1566-E4650,meta-llama/llama-3.3-70b-instruct,,graft,True,True,correct-swapped,exact
uniform,on,E1566-E4650,mistralai/mistral-small-3.2-24b-instruct,,graft,True,True,exact,exact
uniform,on,E1566-E4650,openai/gpt-4o-mini,,graft,True,True,exact,exact
uniform,on,E1566-E4650,openai/gpt-5-mini,,graft,True,True,exact,exact
uniform,on,E1566-E4650,qwen/qwen3-32b,,graft,True,True,exact,exact
uniform,on,E1790-E4135,anthropic/claude-haiku-4.5,,signal,True,True,exact,exact
uniform,on,E1790-E4135,deepseek/deepseek-chat-v3.1,,signal,True,True,exact,exact
uniform,on,E1790-E4135,google/gemini-2.5-flash,,signal,True,True,exact,exact
uniform,on,E1790-E4135,meta-llama/llama-3.3-70b-instruct,,signal,True,True,exact,exact
uniform,on,E1790-E4135,mistralai/mistral-small-3.2-24b-instruct,,signal,True,True,exact,exact
uniform,on,E1790-E4135,openai/gpt-4o-mini,,signal,True,True,exact,exact
uniform,on,E1790-E4135,openai/gpt-5-mini,,signal,True,True,exact,exact
uniform,on,E1790-E4135,qwen/qwen3-32b,,signal,True,True,exact,exact
uniform,on,E1817-E1955,anthropic/claude-haiku-4.5,,tea,True,True,exact,exact
uniform,on,E1817-E1955,deepseek/deepseek-chat-v3.1,,tea,True,True,exact,exact
uniform,on,E1817-E1955,google/gemini-2.5-flash,,tea,True,True,exact,exact
uniform,on,E1817-E1955,meta-llama/llama-3.3-70b-instruct,,tea,True,True,exact,exact
uniform,on,E1817-E1955,mistralai/mistral-small-3.2-24b-instruct,,tea,True,True,exact,exact
uniform,on,E1817-E1955,openai/gpt-4o-mini,,tea,True,True,exact,exact
uniform,on,E1817-E1955,openai/gpt-5-mini,,tea,True,True,exact,exact
uniform,on,E1817-E1955,qwen/qwen3-32b,,tea,True,True,exact,exact
uniform,on,E2053-E4363,anthropic/claude-haiku-4.5,,signal,True,True,exact,exact
uniform,on,E2053-E4363,deepseek/deepseek-chat-v3.1,,signal,True,True,exact,correct-swapped
