theorem_dataset_name	condition	check_status	lean_typechecked	error_class	error_symbol	error_summary	error_kind	returncode	source_index	output_sha256
LADR_thm_chap_7_82	statement_only	error	False	unknown_identifier	IsSingularValue	Function expected at IsSingularValue but this term has type ?m.1 Note: Expected a function because this term is being applied to the argument T Hint: The identifier `IsSingularV...	[anonymous]	1	37	12dd5a772313f576bb939d21d2d53fdb95a9499cf2c77b120e3d540d65488a6f
LADR_thm_chap_7_82	statement_plus_proof	ok	True	ok				0	38	7f8f37a6954ad8fe8d3d57294c4526de3aa534f5bdd609612ff8d09270e48138
LADR_thm_chap_7_99	statement_only	ok	True	ok				0	39	463177e52b25e9df0584942f387318236e8876e90592562b4da28d79127f8494
LADR_thm_chap_7_99	statement_plus_proof	error	False	expected_token		expected token	[anonymous]	1	40	ac73ac7af6a460090e05209b47afd824efaa45ebd991ae18ccd5200df419c162
LADR_thm_chap_7_5	statement_only	error	False	unexpected_token	λ	unexpected token 'λ'; expected '_' or identifier	[anonymous]	1	41	e2130a0857f5903c5d77b92c608e012195d20e7aea002cbb7dd1dd458cb037c3
LADR_thm_chap_7_5	statement_plus_proof	error	False	unexpected_token	λ	unexpected token 'λ'; expected '(', '[', '_', '{', '⦃' or identifier	[anonymous]	1	42	aed835ea0f77db28c240fb955a2141b7931ebc6380f4cc5237f5a52f575ac661
LADR_thm_chap_8_37	statement_only	error	False	unexpected_token	λ	unexpected token 'λ'; expected '_' or identifier	[anonymous]	1	43	7386bd2eb386517ce49a4044b3b4d7feec4df080f6ebddc73de7ec446d773306
LADR_thm_chap_8_37	statement_plus_proof	error	False	unexpected_token	λ	unexpected token 'λ'; expected '_' or identifier	[anonymous]	1	44	3849f755f0bd966c02b3d05370111acd58f098844cd3a2fe2a759d6035936594
LADR_thm_chap_8_12	statement_only	ok	True	ok				0	45	8ab3270619d7698f40a00ba9ff58e4e237d53e8a385fbf42009c28e77c1d1581
LADR_thm_chap_8_12	statement_plus_proof	ok	True	ok				0	46	c24c916e327e9c43ac4b207e2b334137f56462e74001b336bb7f5ae52d60e1a7
LADR_thm_chap_8_49	statement_only	error	False	expected_token		expected token	[anonymous]	1	47	d910e88a8d65a9011ceba5cde8a4f2389cdab21bea26c6198f99e30a7f544077
LADR_thm_chap_8_49	statement_plus_proof	error	False	expected_token		expected token	[anonymous]	1	48	87d276d5ca50bda5d5d65d819bd15d35391a0d40a34f5902dd4e2d50c94194c8
LADR_thm_chap_9_79	statement_only	error	False	typeclass_stuck		typeclass instance problem is stuck HSMul (?m.89 Γ) V V Note: Lean will not try to resolve this typeclass instance problem because the first type argument to `HSMul` contains me...	[anonymous]	1	49	5a09cb7b31f3f078fe630300ec1d978e0d6cf21e1d503bea2894ed8b0d52956a
LADR_thm_chap_9_79	statement_plus_proof	error	False	unexpected_tactic_term		Tactic `assumption` failed 𝕜 : Type u_1 V : Type u_2 W : Type u_3 U : Type u_4 inst✝⁶ : Field 𝕜 inst✝⁵ : AddCommGroup V inst✝⁴ : Module 𝕜 V inst✝³ : AddCommGroup W inst✝² : Modu...	[anonymous]	1	50	d22f7fd40e230f2a3f21dfceb69f435a9282397ff32cbd08afcb8a668495b162
LADR_thm_chap_9_65	statement_only	error	False	unexpected_token	in	unexpected token 'in'; expected ','	[anonymous]	1	51	39d117440a46697cf5b2035933d115f174fbe6dda426acb03353a5e73f673876
LADR_thm_chap_9_65	statement_plus_proof	error	False	unknown_constant	FiniteDimensional.finrank	Unknown constant `FiniteDimensional.finrank`	lean.unknownIdentifier._namedError	1	52	95ff0caeaa8c6019e36fae5a93c93ba680c8835bc9e1df135a0be7e3e5a37b1f
LADR_thm_chap_9_55	statement_only	error	False	unexpected_token	in	unexpected token 'in'; expected ','	[anonymous]	1	53	0a6839920396be1417f1066e052ecc30b625a9a73b0b679d18f7199f9c3c8cc7
LADR_thm_chap_9_55	statement_plus_proof	error	False	unexpected_token	in	unexpected token 'in'; expected ','	[anonymous]	1	54	ca57e125c69a3fe5776faaf7b093a84c967ba280906e315d80979dcfd148c431
